# name N_para N_water V[A^3] V_error[A^3] c_para[1/A^3] c_para_error
box16-43-100-4x4x4-100C 2752 6400 4.05444493e+05 4.57182232e+01 0.00678761 1.53075e-06
box17-30-100-4x4x4-100C 1920 6400 3.42237084e+05 2.73794052e+01 0.00561015 8.97638e-07
box20-72-100-4x4x4-100C 4608 6400 5.45989030e+05 3.90536309e+01 0.00843973 1.20736e-06
box22-135-100-3x3x3-100C 3645 2700 3.59253404e+05 2.64526800e+01 0.010146 1.49415e-06
box22-135-100-4x4x4-100C 8640 6400 8.51620714e+05 6.86339208e+01 0.0101454 1.63527e-06
box24-188-100-3x3x3-100C 5076 2700 4.67731893e+05 3.64589369e+01 0.0108524 1.69185e-06
box24-188-100-4x4x4-100C 12032 6400 1.10867423e+06 8.08393241e+01 0.0108526 1.58264e-06
box24-90-100-4x4x4-100C 5760 6400 6.33189697e+05 4.89836480e+01 0.0090968 1.40746e-06
box28-268-100-3x3x3-100C 7236 2700 6.31607030e+05 4.82529246e+01 0.0114565 1.75048e-06
box28-302-80-3x3x3-100C 8154 2160 6.84512715e+05 6.23794512e+01 0.0119121 2.1711e-06
box30-10-2x2x2-100C 80 6480 2.05019024e+05 1.81145418e+01 0.000390208 6.89539e-08
box30-10-3x3x3-100C 270 21870 6.91953501e+05 4.94045901e+01 0.0003902 5.57195e-08
box30-15-2x2x2-100C 120 6360 2.04393491e+05 1.66057924e+01 0.000587103 9.53974e-08
box30-20-2x2x2-100C 160 6064 1.98358223e+05 1.56829742e+01 0.000806621 1.27549e-07
box30-20-3x3x3-100C 540 20466 6.69541716e+05 4.91002306e+01 0.000806522 1.18291e-07
box30-30-2x2x2-100C 240 5656 1.91936496e+05 1.49597063e+01 0.00125041 1.94917e-07
box30-40-2x2x2-100C 320 5144 1.82325843e+05 2.32301411e+01 0.0017551 4.47235e-07
box30-40-3x3x3-100C 1080 17361 6.15208451e+05 3.90214600e+01 0.0017555 2.22696e-07
box30-50-2x2x2-100C 400 4912 1.81281029e+05 1.44372791e+01 0.00220652 3.51456e-07
box30-60-2x2x2-100C 480 4392 1.71407388e+05 1.33556152e+01 0.00280035 4.36391e-07
box30-60-3x3x3-100C 1620 14823 5.78468164e+05 5.41604876e+01 0.0028005 5.24407e-07
box30-70-2x2x2-100C 560 3696 1.56079996e+05 1.20843826e+01 0.0035879 5.55582e-07
box30-80-2x2x2-100C 640 3360 1.51803840e+05 1.30526693e+01 0.00421597 7.2501e-07
box30-80-3x3x3-100C 2160 11340 5.12487142e+05 4.07078684e+01 0.00421474 6.6957e-07
box34-401-400-3x3x3-100C 10827 10800 1.15257103e+06 1.19455741e+02 0.00939378 1.9472e-06
box35-100-2x2x2-100C 800 6448 2.58867010e+05 1.95685450e+01 0.00309039 4.67224e-07
box35-100-3x3x3-100C 2700 21762 8.73608565e+05 6.72380685e+01 0.00309063 4.75746e-07
box35-120-2x2x2-100C 960 5552 2.43474880e+05 2.05148819e+01 0.00394291 6.64449e-07
box35-120-3x3x3-100C 3240 18738 8.21689552e+05 7.10188217e+01 0.0039431 6.81605e-07
box35-135-2x2x2-100C 1080 4968 2.34611946e+05 1.83246091e+01 0.00460335 7.19098e-07
box35-135-3x3x3-100C 3645 16767 7.91831605e+05 4.87874458e+01 0.00460325 5.67244e-07
box35-90-2x2x2-100C 720 7096 2.72696208e+05 2.00927465e+01 0.0026403 3.89084e-07
box36-607-80-3x3x3-100C 16389 2160 1.30906589e+06 1.34987423e+02 0.0125196 2.58198e-06
box50-10-1x1x1-100C 10 3907 1.20924602e+05 2.47561515e+02 8.26962e-05 3.38599e-07
box50-10-2x2x2-100C 80 31256 9.65398860e+05 8.74347314e+01 8.28673e-05 1.50103e-08
box50-1-1x1x1-100C 1 3957 1.21785728e+05 2.49753101e+02 8.21114e-06 3.36783e-08
box50-1-2x2x2-100C 8 31656 9.72151070e+05 6.85580848e+01 8.22917e-06 1.16068e-09
