# name N_para N_water V[A^3] V_error[A^3] c_para[1/A^3] c_para_error
box16-43-100-4x4x4-20C 2752 6400 3.82528723e+05 2.20747758e+01 0.00719423 8.30322e-07
box17-30-100-4x4x4-20C 1920 6400 3.22401410e+05 2.24716520e+01 0.00595531 8.3018e-07
box20-72-100-4x4x4-20C 4608 6400 5.16742275e+05 3.15625874e+01 0.0089174 1.08935e-06
# box22-135-100-3x3x3-20C 3645 2700 3.41097312e+05 2.65186128e+01 0.0106861 1.66158e-06
box22-135-100-4x4x4-20C 8640 6400 8.08574783e+05 6.09525828e+01 0.0106855 1.611e-06
# box24-188-100-3x3x3-20C 5076 2700 4.44580622e+05 3.48101181e+01 0.0114175 1.78795e-06
box24-188-100-4x4x4-20C 12032 6400 1.05414683e+06 6.34949647e+01 0.011414 1.37501e-06
box24-90-100-4x4x4-20C 5760 6400 6.00066203e+05 5.23498652e+01 0.00959894 1.67483e-06
box28-268-100-3x3x3-20C 7236 2700 6.01022810e+05 4.67335621e+01 0.0120395 1.8723e-06
box28-302-80-3x3x3-20C 8154 2160 6.51974390e+05 5.58104101e+01 0.0125066 2.14119e-06
# box30-10-2x2x2-20C 80 6480 1.91603925e+05 1.13612697e+01 0.000417528 4.95151e-08
box30-10-3x3x3-20C 270 21870 6.46711557e+05 4.45742795e+01 0.000417497 5.75515e-08
box30-15-2x2x2-20C 120 6360 1.91084905e+05 1.21338576e+01 0.000627993 7.97549e-08
# box30-20-2x2x2-20C 160 6064 1.85506730e+05 1.10922875e+01 0.000862502 1.03146e-07
box30-20-3x3x3-20C 540 20466 6.26016785e+05 4.77444669e+01 0.000862597 1.31575e-07
box30-30-2x2x2-20C 240 5656 1.79555225e+05 1.16174128e+01 0.00133664 1.72964e-07
# box30-40-2x2x2-20C 320 5144 1.70677048e+05 1.19594772e+01 0.00187489 2.6275e-07
box30-40-3x3x3-20C 1080 17361 5.75986327e+05 3.92933352e+01 0.00187504 2.55828e-07
box30-50-2x2x2-20C 400 4912 1.69798971e+05 1.16525803e+01 0.00235573 3.23327e-07
# box30-60-2x2x2-20C 480 4392 1.60673590e+05 1.02052139e+01 0.00298742 3.79494e-07
box30-60-3x3x3-20C 1620 14823 5.42299412e+05 3.09643928e+01 0.00298728 3.41137e-07
box30-70-2x2x2-20C 560 3696 1.46466460e+05 9.84254231e+00 0.0038234 5.13865e-07
# box30-80-2x2x2-20C 640 3360 1.42625892e+05 9.59209437e+00 0.00448726 6.03569e-07
box30-80-3x3x3-20C 2160 11340 4.81415386e+05 2.99927908e+01 0.00448677 5.59063e-07
box34-401-400-3x3x3-20C 10827 10800 1.09283925e+06 9.26219315e+01 0.00990722 1.67934e-06
# box35-100-2x2x2-20C 800 6448 2.42769992e+05 1.59479764e+01 0.0032953 4.32948e-07
box35-100-3x3x3-20C 2700 21762 8.19393825e+05 5.02744840e+01 0.00329512 4.04349e-07
box35-110-2x2x2-20C 880 6048 2.37058760e+05 1.63482536e+01 0.00371216 5.12002e-07
# box35-120-2x2x2-20C 960 5552 2.28657205e+05 1.42415324e+01 0.00419842 5.22984e-07
box35-120-3x3x3-20C 3240 18738 7.71605532e+05 5.70150463e+01 0.00419904 6.20546e-07
# box35-135-2x2x2-20C 1080 4968 2.20555387e+05 1.42845523e+01 0.00489673 6.34286e-07
box35-135-3x3x3-20C 3645 16767 7.44480295e+05 5.02062927e+01 0.00489603 6.60358e-07
box35-90-2x2x2-20C 720 7096 2.55569753e+05 1.93037743e+01 0.00281723 4.25585e-07
box36-607-80-3x3x3-20C 16389 2160 1.24799508e+06 9.48146362e+01 0.0131323 1.99541e-06
# box50-10-1x1x1-20C 10 3907 1.13033064e+05 2.72103047e+02 8.84697e-05 4.25946e-07
box50-10-2x2x2-20C 80 31256 9.02185649e+05 6.62903417e+01 8.86735e-05 1.3031e-08
# box50-1-1x1x1-20C 1 3957 1.13558182e+05 7.77976202e+00 8.80606e-06 1.20659e-09
box50-1-2x2x2-20C 8 31656 9.08287368e+05 6.62989178e+01 8.80779e-06 1.28582e-09
